CATEGORY,COURSE ID,COURSE NAME,CREDIT HOURS,PRE-REQISITES COUNT,PRE REQ
1,2220100,MILITARY SCIENCES,3,0,
1,3400100,NATIONAL CULTURE,3,0,
1,3400101,LEARNING & RESEARCH SKILLS,3,3,1932099+3201099+302099
1,3400102,COMMUNICATION SKILLS,3,1,3400101
1,3400103,INTRODUCTION TO PHILOSOPHY AND CRITICAL THINKING,3,1,3400101
1,3400104,HUMAN CIVILIZATION,3,0,
1,3400105,CAMPUS LIFE AND ETHICS,3,0,
2,400101,ISLAM AND CONTEMPORARY ISSUES,3,0,
2,2300101,ARAB-ISLAMIC CIVILIZATION,3,0,
2,2300102,JORDAN: HISTORY AND CIVILIZATION,3,0,
2,3400107,GREAT BOOKS,3,0,
2,3400108,JERUSALEM,3,0,
2,300102,ENVIRONMENTAL CULTURE,3,0,
2,400102,ISLAMIC CULTURE,3,0,
2,720100,HEALTH CULTURE,3,0,
2,1000102,LEGAL CULTURE,3,0,
2,1100100,PHYSICAL FITNESS CULTURE,3,0,
2,1600100,ELECTRONIC COMMERCE,3,0,
2,1601105,MANAGEMENT SKILLS,3,0,
2,1900101,SOCIAL MEDIA,3,0,
2,2000100,APPRECIATION OF ARTS,3,0,
2,2200103,FOREIGN LANGUAGE,3,0,
2,3400106,SPECIAL SUBJECT,3,0,
2,3400109,ENTREPRENEURSHIP & CREATIVITY,3,0,
6,1900150,COMMUNITY SERVICE,0,0,
6,1902098,COMPUTER SKILLS PLACEMENT TEST,0,0,
6,1932099,BASICS OF COMPUTING,0,1,1902098
6,3201098,ARABIC PLACEMENT TEST,0,0,
6,3201099,BASICS OF ARABIC,0,1,3201098
6,3201100,ARABIC LANGUAGE SKILLS,0,1,3201099+3201098
6,3202098,ENGLISH PLACEMENT TEST,0,0,
6,3202099,BASICS OF ENGLISH,0,1,3202098
6,3202100,ENGLISH LANGUAGE SKILLS,0,1,3202098+3202099
